iter	MAE
0	626.1848633
1	623.3684942
2	620.8639808
3	618.0484173
4	615.3015854
5	612.5287319
6	609.847141
7	607.5736169
8	604.9981735
9	602.6796007
10	600.3623759
11	597.8193565
12	595.169199
13	592.5857859
14	589.9000284
15	587.5128348
16	584.9796827
17	582.5157144
18	580.3786376
19	578.1594342
20	575.636214
21	573.5709212
22	571.4584698
23	569.1226941
24	566.7565299
25	564.5986952
26	562.1385403
27	559.7140042
28	557.7486631
29	555.5834014
30	553.3561388
31	550.9790918
32	548.6867967
33	546.5203294
34	544.3702856
35	542.1890924
36	540.0021965
37	537.8304366
38	535.5203455
39	533.3757359
40	531.1052643
41	528.8626376
42	526.9041494
43	524.7616717
44	522.5074054
45	520.5155023
46	518.2710338
47	516.1093133
48	513.9188181
49	511.9124206
50	509.923435
51	507.8336937
52	505.8868494
53	503.7672558
54	501.6871501
55	499.6379591
56	497.4974876
57	495.5383357
58	493.6132039
59	491.5847475
60	489.7720587
61	487.765104
62	485.7744675
63	484.0322325
64	482.1162912
65	480.5463981
66	478.6432035
67	476.651613
68	474.7844497
69	472.9104213
70	471.0675631
71	469.1721576
72	467.3157079
73	465.5403628
74	463.6598722
75	461.7907959
76	460.0871171
77	458.2614283
78	456.3926393
79	454.6765826
80	452.9135638
81	451.259092
82	449.4138125
83	447.842614
84	446.0597536
85	444.3506728
86	442.6118184
87	440.992513
88	439.295349
89	437.6362219
90	436.1018243
91	434.4597828
92	432.8107376
93	431.128274
94	429.4187921
95	427.8441635
96	426.2110507
97	424.5523878
98	422.8761098
99	421.2752895
100	419.6075415
101	418.1055689
102	416.5720052
103	415.0524602
104	413.4970625
105	411.9935408
106	410.5197158
107	408.9921575
108	407.4839468
109	405.938257
110	404.4055317
111	402.9657953
112	401.4655818
113	400.0270728
114	398.5830201
115	397.1061775
116	395.63473
117	394.181529
118	392.8412318
119	391.4619413
120	390.1884448
121	388.8499006
122	387.4415305
123	386.0111832
124	384.6061712
125	383.3403633
126	382.047053
127	380.7633564
128	379.4399605
129	378.1446971
130	376.9144472
131	375.8033575
132	374.4798008
133	373.3373828
134	372.0407947
135	370.6949348
136	369.3986769
137	368.164331
138	366.8615888
139	365.6460613
140	364.3847194
141	363.1655539
142	361.9966468
143	360.8408637
144	359.6346367
145	358.5071592
146	357.3133293
147	356.0949771
148	354.9814404
149	353.8984583
150	352.7518089
151	351.5445313
152	350.3804332
153	349.2398088
154	348.1059262
155	347.0448859
156	345.9512932
157	344.8284556
158	343.7428986
159	342.6223413
160	341.4956634
161	340.4410019
162	339.3432893
163	338.2883468
164	337.2996286
165	336.2224819
166	335.2122247
167	334.2101571
168	333.2143983
169	332.1644594
170	331.0965137
171	330.1463788
172	329.1589421
173	328.1778106
174	327.3085655
175	326.3156677
176	325.3757179
177	324.5386124
178	323.6258756
179	322.6531963
180	321.7207078
181	320.8012444
182	319.836052
183	318.9033733
184	318.0020847
185	316.9943028
186	316.0916329
187	315.1658546
188	314.2671653
189	313.3378516
190	312.4147551
191	311.5084624
192	310.7551857
193	309.8160369
194	308.9701938
195	308.1599903
196	307.4040576
197	306.5385988
198	305.6974077
199	304.8756351
200	303.9851821
201	303.1368341
202	302.2974218
203	301.5117624
204	300.6937096
205	299.8881262
206	299.0949975
207	298.3461853
208	297.4849598
209	296.7534428
210	295.986695
211	295.2874045
212	294.5685016
213	293.8098893
214	293.0555332
215	292.2800298
216	291.4483781
217	290.9396564
218	290.1742648
219	289.4717064
220	288.6814992
221	288.0125023
222	287.3250862
223	286.6007593
224	285.9109725
225	285.1753014
226	284.4785251
227	283.7894811
228	283.1784175
229	282.4070154
230	281.6880613
231	281.0009731
232	280.4059086
233	279.7444276
234	279.039068
235	278.3922645
236	277.7734986
237	277.1662362
238	276.5007833
239	275.8338731
240	275.2296905
241	274.4651286
242	273.8328825
243	273.2161594
244	272.6015389
245	272.0276243
246	271.3592481
247	270.8022997
248	270.227899
249	269.6079984
250	268.95462
251	268.3980568
252	267.8387937
253	267.2697863
254	266.6858177
255	266.1383807
256	265.5263088
257	264.9872471
258	264.3471498
259	263.7508851
260	263.247318
261	262.7666466
262	262.2175109
263	261.6942054
264	261.1882452
265	260.6809982
266	260.0855153
267	259.5594544
268	259.0379739
269	258.5078917
270	257.9760007
271	257.4925018
272	256.9336713
273	256.4373505
274	255.8966801
275	255.4007873
276	254.8478994
277	254.329008
278	253.8675718
279	253.4051174
280	252.9001265
281	252.4078881
282	251.8729933
283	251.3444348
284	250.8536863
285	250.3465932
286	249.8397144
287	249.3492769
288	248.9105449
289	248.4786772
290	248.0463573
291	247.5795223
292	247.0815493
293	246.6801473
294	246.2659619
295	245.846227
296	245.362585
297	244.9683511
298	244.5831614
299	244.1636305
300	243.7702838
301	243.391149
302	242.9856641
303	242.5087492
304	242.1423032
305	241.6557103
306	241.242936
307	240.7631227
308	240.308202
309	239.8346296
310	239.4733633
311	239.1015695
312	238.6940332
313	238.3015066
314	237.9470611
315	237.5508685
316	237.2101202
317	236.8496864
318	236.473628
319	236.1011158
320	235.6160486
321	235.2935268
322	234.9085447
323	234.4926352
324	234.0911069
325	233.6547324
326	233.2978435
327	232.9136122
328	232.5486093
329	232.1925263
330	231.8379827
331	231.5295849
332	231.125891
333	230.8523241
334	230.4891209
335	230.1686085
336	229.8266716
337	229.5214169
338	229.1598849
339	228.804086
340	228.510187
341	228.1765872
342	227.8711035
343	227.5365988
344	227.1873315
345	226.824212
346	226.5255141
347	226.1870767
348	225.8688714
349	225.475907
350	225.152942
351	224.7389736
352	224.446307
353	224.1263087
354	223.7894046
355	223.4557977
356	223.0913564
357	222.8080951
358	222.5266114
359	222.1488616
360	221.8308865
361	221.3995232
362	221.0922959
363	220.8121959
364	220.4144677
365	220.1092413
366	219.8127355
367	219.5261059
368	219.228606
369	218.9488135
370	218.6938378
371	218.3879226
372	218.1123418
373	217.8382726
374	217.5542165
375	217.2267242
376	216.9742963
377	216.6087422
378	216.3451391
379	216.0667039
380	215.7530666
381	215.4919335
382	215.2178977
383	214.9285005
384	214.7233452
385	214.4784122
386	214.2256155
387	214.0284482
388	213.6744017
389	213.4195001
390	213.1733425
391	212.7966317
392	212.4782109
393	212.1907979
394	211.7917509
395	211.5468451
396	211.3214483
397	211.0513347
398	210.8491733
399	210.6395922
400	210.4041011
401	210.1607491
402	209.8728616
403	209.6346746
404	209.4224458
405	209.1967041
406	208.9648184
407	208.7390184
408	208.5976435
409	208.4021574
410	208.1223004
411	207.897282
412	207.7060461
413	207.3897257
414	207.1721108
415	206.8973418
416	206.6607848
417	206.4894595
418	206.2799436
419	206.121426
420	205.8974714
421	205.6975126
422	205.4820347
