iter	Passed	Remaining
0	3	1148
1	7	1118
2	11	1095
3	15	1078
4	18	1057
5	21	1038
6	24	1002
7	27	973
8	30	953
9	33	932
10	36	922
11	39	910
12	42	897
13	45	891
14	48	881
15	50	870
16	53	860
17	56	856
18	59	848
19	62	840
20	65	833
21	67	827
22	70	822
23	73	817
24	76	814
25	79	811
26	83	808
27	85	804
28	88	799
29	92	799
30	95	795
31	98	792
32	100	786
33	103	781
34	106	776
35	109	774
36	112	769
37	115	765
38	118	761
39	121	757
40	124	753
41	127	749
42	129	745
43	132	741
44	135	738
45	138	735
46	141	731
47	144	727
48	147	723
49	149	719
50	152	716
51	155	712
52	158	709
53	161	705
54	164	702
55	167	700
56	170	696
57	173	694
58	176	691
59	179	688
60	182	685
61	185	682
62	188	679
63	191	676
64	194	674
65	197	671
66	200	668
67	203	665
68	206	662
69	209	659
70	212	656
71	215	653
72	218	650
73	221	647
74	224	644
75	227	641
76	230	638
77	233	635
78	236	632
79	239	628
80	242	625
81	245	622
82	248	619
83	251	616
84	254	613
85	257	610
86	260	607
87	263	603
88	266	601
89	269	598
90	272	595
91	275	592
92	278	589
93	281	586
94	284	583
95	287	580
96	290	577
97	293	574
98	296	571
99	298	568
100	301	565
101	305	562
102	307	559
103	310	556
104	313	552
105	316	549
106	319	546
107	322	543
108	325	540
109	328	537
110	331	534
111	334	531
112	337	528
113	340	525
114	343	522
115	346	519
116	349	516
117	352	513
118	355	510
119	357	506
120	360	503
121	363	500
122	366	497
123	369	494
124	372	491
125	375	488
126	377	485
127	381	482
128	384	479
129	387	476
130	390	473
131	393	470
132	396	467
133	399	464
134	402	461
135	405	458
136	408	455
137	411	452
138	414	449
139	417	447
140	420	443
141	423	440
142	426	437
143	429	434
144	432	432
145	435	429
146	438	426
147	441	423
148	443	420
149	446	417
150	449	414
151	452	411
152	455	408
153	458	404
154	461	402
155	464	399
156	467	396
157	470	393
158	473	390
159	476	387
160	479	384
161	482	381
162	485	378
163	488	375
164	491	372
165	494	369
166	497	366
167	500	363
168	503	360
169	505	357
170	508	354
171	511	351
172	514	348
173	517	345
174	520	342
175	523	339
176	526	336
177	529	333
178	532	330
179	535	327
180	538	324
181	541	321
182	544	318
183	546	315
184	549	312
185	552	309
186	555	306
187	558	303
188	561	300
189	564	297
190	567	294
191	570	291
192	573	288
193	576	285
194	579	282
195	582	279
196	585	276
197	588	273
198	591	270
199	594	267
200	596	264
201	599	261
202	602	258
203	605	255
204	608	252
205	611	249
206	614	246
207	617	243
208	620	240
209	623	237
210	626	234
211	629	231
212	631	228
213	634	225
214	637	222
215	640	219
216	643	216
217	646	213
218	649	210
219	652	207
220	655	204
221	658	201
222	661	198
223	664	195
224	666	192
225	669	189
226	672	186
227	675	183
228	678	180
229	681	177
230	684	174
231	687	171
232	690	168
233	693	165
234	696	162
235	699	159
236	702	157
237	705	154
238	708	151
239	711	148
240	713	145
241	716	142
242	719	139
243	722	136
244	725	133
245	728	130
246	731	127
247	734	124
248	737	121
249	740	118
250	743	115
251	746	112
252	749	109
253	751	106
254	754	103
255	757	100
256	760	97
257	763	94
258	766	91
259	769	88
260	772	85
261	775	82
262	778	79
263	781	76
264	784	73
265	787	71
266	790	68
267	792	65
268	795	62
269	799	59
270	802	56
271	805	53
272	808	50
273	811	47
274	814	44
275	816	41
276	819	38
277	822	35
278	825	32
279	828	29
280	831	26
281	834	23
282	837	20
283	840	17
284	843	14
285	846	11
286	849	8
287	852	5
288	854	2
289	857	0
